PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,TYPE,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
1155. Brennan Menell,MIN,22,"May 24, 1997",United States,183 lbs - 83 kg,5' 11 - 180 cm,D,Right,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 26, 2017",20,,,,3,ELC,RFA,2020,"$716,666",1.0%,"$716,666","$750,000","$700,000","$70,000","$50,000",$0
1156. Ty Lewis,COL,21,"May 3, 1998",Canada,185 lbs - 84 kg,5'11 - 180 cm,LW,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Oct 2, 2017",19,,,,3,ELC,RFA,2021,"$716,666",1.0%,"$716,666","$750,000","$700,000","$65,000","$50,000",$0
1157. Dylan Coghlan,VGK,21,"Feb 19, 1998",Canada,190 lbs - 86 kg,6'2 - 188 cm,D,Right,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 20, 2017",19,,,,3,ELC,RFA,2021,"$715,556",1.0%,"$715,556","$750,000","$700,000","$60,000","$50,000",$0
1158. Thomas Schemitsch,FLA,22,"Oct 26, 1996",Canada,205 lbs - 93 kg,6'3 - 191 cm,D,Right,88 - Round 3 - 2015 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 14, 2019",22,,,,1,RFA,RFA,2020,"$715,000",0.9%,"$715,000","$715,000","$715,000","$70,000",$0,$0
1159. Francis Perron,VAN,23,"Apr 18, 1996",Canada,166 lbs - 75 kg,6' 0 - 183 cm,LW,Left,190 - Round 7 - 2014 (OTT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 8, 2019",23,,,,1,RFA,RFA,2020,"$715,000",0.9%,"$715,000","$715,000","$715,000","$100,000",$0,$0
1160. Gage Quinney,VGK,23,"Jul 29, 1995",United States,201 lbs - 91 kg,5'11 - 180 cm,"LW, C",Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jun 1, 2018",22,,,,2,ELC,RFA,2020,"$715,000",1.0%,"$715,000","$740,000","$700,000","$70,000","$40,000",$0
1161. Dysin Mayo,ARI,22,"Aug 17, 1996",Canada,185 lbs - 84 kg,6' 0 - 183 cm,D,Right,133 - Round 5 - 2014 (ARI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 15, 2019",22,,,,1,RFA,RFA,2020,"$715,000",0.9%,"$715,000","$715,000","$715,000","$70,000",$0,$0
1162. Dryden Hunt,FLA,23,"Nov 24, 1995",Canada,191 lbs - 87 kg,6' 0 - 183 cm,"LW, RW",Left,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 17, 2019",23,,,,1,RFA,RFA,2020,"$715,000",0.9%,"$715,000","$715,000","$715,000","$100,000",$0,$0
1163. Calvin Thürkauf,CBJ,22,"Jun 27, 1997",Switzerland,203 lbs - 92 kg,6' 1 - 185 cm,"C, LW",Left,185 - Round 7 - 2016 (CBJ),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Dec 30, 2016",19,,,,3,ELC,RFA,2020,"$714,444",1.0%,"$714,444","$700,000","$700,000","$67,500",$0,$0
1164. Brandon Gignac,NJD,21,"Nov 7, 1997",Canada,170 lbs - 77 kg,5' 11 - 180 cm,C,Left,80 - Round 3 - 2016 (NJD),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Nov 11, 2016",18,,,,3,ELC,RFA,2021,"$714,166",1.0%,"$921,666","$700,000","$700,000","$67,500",$0,"$182,500"
1165. Nathan Bastian,NJD,21,"Dec 6, 1997",Canada,205 lbs - 93 kg,6' 4 - 193 cm,"RW, C",Right,41 - Round 2 - 2016 (NJD),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Oct 19, 2016",18,,,,3,ELC,RFA,2021,"$714,166",1.0%,"$905,000","$700,000","$700,000","$70,000",$0,"$182,500"
1166. Jonas Siegenthaler,WSH,22,"May 6, 1997",Switzerland,206 lbs - 93 kg,6' 3 - 191 cm,D,Left,57 - Round 2 - 2015 (WSH),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jul 30, 2015",18,,,,3,ELC,RFA,2020,"$714,166",1.1%,"$888,333","$750,000",$0,"$70,000",$0,"$82,500"
1167. Givani Smith,DET,21,"Feb 27, 1998",Canada,205 lbs - 93 kg,6'2 - 188 cm,LW,Left,46 - Round 2 - 2016 (DET),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Oct 17, 2016",18,,,,3,ELC,RFA,2021,"$714,166",1.0%,"$913,333","$700,000","$700,000","$67,500",$0,"$182,500"
1168. Frédéric Allard,NSH,21,"Dec 27, 1997",Canada,179 lbs - 81 kg,6'1 - 185 cm,D,Right,78 - Round 3 - 2016 (NSH),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 30, 2016",18,,,,3,ELC,RFA,2021,"$714,166",1.0%,"$921,666","$700,000","$700,000","$70,000",$0,"$182,500"
1169. Filip Hronek,DET,21,"Nov 2, 1997",Czech Republic,170 lbs - 77 kg,6' 0 - 183 cm,D,Right,53 - Round 2 - 2016 (DET),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jul 14, 2016",18,,,,3,ELC,RFA,2021,"$714,166",1.0%,"$913,333","$700,000","$700,000","$67,500",$0,"$182,500"
1170. Tanner Jeannot,NSH,22,"May 29, 1997",Canada,207 lbs - 94 kg,6' 2 - 188 cm,LW,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 2, 2018",21,,,,3,ELC,RFA,2021,"$713,333",1.0%,"$713,333","$730,000","$700,000","$70,000","$30,000",$0
1171. Maxime Lajoie,OTT,21,"Nov 5, 1997",Canada,183 lbs - 83 kg,6' 1 - 185 cm,D,Left,133 - Round 5 - 2016 (OTT),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Oct 3, 2016",18,,,,3,ELC,RFA,2021,"$710,000",1.0%,"$780,000","$700,000","$700,000","$65,000",$0,"$70,000"
1172. Sam Miletic,PIT,22,"May 4, 1997",United States,196 lbs - 89 kg,6' 0 - 183 cm,"LW, C",Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 25, 2017",20,,,,3,ELC,RFA,2020,"$710,000",0.9%,"$710,000","$750,000","$700,000","$60,000","$50,000",$0
1173. Samuel Montembeault,FLA,22,"Oct 30, 1996",Canada,208 lbs - 94 kg,6' 3 - 191 cm,G,Left,77 - Round 3 - 2015 (FLA),,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (2-way),"Jul 15, 2019",22,,,,1,RFA,RFA,2020,"$708,750",0.9%,"$708,750","$708,750","$708,750","$70,000",$0,$0
1174. Bokondji Imama,LAK,22,"Aug 3, 1996",Canada,214 lbs - 97 kg,6'1 - 185 cm,LW,Left,180 - Round 6 - 2015 (TBL),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jun 1, 2017",21,,,,3,ELC,RFA,2020,"$706,667",1.0%,"$706,667","$740,000","$700,000","$60,000","$40,000",$0
1175. Alexandre Fortin,CHI,22,"Feb 25, 1997",Canada,184 lbs - 83 kg,6' 0 - 183 cm,"C, LW",Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 25, 2016",19,,,,3,ELC,RFA,2020,"$706,666",0.9%,"$706,666","$700,000",$0,"$70,000",$0,$0
1176. Jacob Moverare,LAK,20,"Aug 31, 1998",Sweden,198 lbs - 90 kg,6'2 - 188 cm,D,Left,112 - Round 4 - 2016 (LAK),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jul 14, 2016",17,,,,3,ELC,RFA,2021,"$705,556",0.9%,"$705,556","$700,000","$700,000","$65,000",$0,$0
1177. Keegan Kolesar,VGK,22,"Apr 8, 1997",Canada,216 lbs - 98 kg,6' 2 - 188 cm,RW,Right,69 - Round 3 - 2015 (CBJ),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Dec 20, 2015",18,,,,3,ELC,RFA,2020,"$702,500",1.0%,"$905,000","$715,000",$0,"$70,000",$0,"$117,500"
1178. Giovanni Fiore,ARI,22,"Aug 13, 1996",Canada,194 lbs - 88 kg,6' 1 - 185 cm,"RW, C",Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 18, 2017",21,,,,3,ELC,RFA,2020,"$701,667",1.0%,"$701,667","$735,000","$700,000","$70,000","$35,000",$0
1179. Ondrej Vala,DAL,21,"Apr 13, 1998",Czech Republic,216 lbs - 98 kg,6'4 - 193 cm,D,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 29, 2016",18,,,,3,ELC,RFA,2021,"$701,666",0.9%,"$701,666","$700,000","$700,000","$60,000",$0,$0
1180. Justin Bailey,VAN,23,"Jul 1, 1995",United States,214 lbs - 97 kg,6' 4 - 193 cm,RW,Right,52 - Round 2 - 2013 (BUF),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 4, 2019",23,,,,1,UFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$165,000",$0,$0
1181. Gavin Bayreuther,DAL,25,"May 12, 1994",United States,195 lbs - 88 kg,6' 1 - 185 cm,D,Left,-,,✓,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 8, 2019",25,✔,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$170,000",$0,$0
1182. Daniel Walcott,TBL,25,"Feb 19, 1994",Canada,161 lbs - 73 kg,5' 11 - 180 cm,D,Left,140 - Round 5 - 2014 (NYR),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jun 19, 2019",25,,,,1,UFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$125,000",$0,$0
1183. Kyle Criscuolo,PHI,27,"May 5, 1992",United States,170 lbs - 77 kg,5' 8 - 173 cm,C,Right,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",27,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$200,000",$0,$0
1184. Nelson Nogier,WPG,23,"May 27, 1996",Canada,191 lbs - 87 kg,6' 2 - 188 cm,D,Right,101 - Round 4 - 2014 (WPG),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 15, 2019",23,,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$80,000",$0,$0
1185. Ville Husso,STL,24,"Feb 6, 1995",Finland,205 lbs - 93 kg,6' 2 - 188 cm,G,Left,94 - Round 4 - 2014 (STL),,✓,✔,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (2-way),"Jul 20, 2019",24,✔,✔,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$150,000",$0,$0
1186. Zach Trotman,PIT,28,"Aug 26, 1990",United States,217 lbs - 98 kg,6' 3 - 191 cm,D,Right,210 - Round 7 - 2010 (BOS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jun 26, 2019",28,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$400,000",$0,$0
1187. Martin Frk,LAK,25,"Oct 5, 1993",Czech Republic,205 lbs - 93 kg,6' 1 - 185 cm,RW,Right,49 - Round 2 - 2012 (DET),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",25,,,,1,UFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$350,000",$0,$0
1188. Dylan Gambrell,SJS,22,"Aug 26, 1996",United States,185 lbs - 84 kg,6' 0 - 183 cm,C,Right,60 - Round 2 - 2016 (SJS),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 11, 2019",22,,,,2,RFA,RFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$100,000",$0,$0
1189. Philippe Desrosiers,FLA,23,"Aug 16, 1995",Canada,196 lbs - 89 kg,6' 2 - 188 cm,G,Left,54 - Round 2 - 2013 (DAL),,,✔,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (2-way),"Jul 2, 2019",23,,,,1,UFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$80,000",$0,$0
1190. Brad Hunt,MIN,30,"Aug 24, 1988",Canada,187 lbs - 85 kg,5' 9 - 175 cm,D,Left,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 24, 2019",30,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$700,000",$0,$0
1191. Michael Vecchione,STL,26,"Feb 25, 1993",United States,195 lbs - 88 kg,5'10 - 178 cm,C,Right,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",26,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$250,000",$0,$0
1192. Jean-Sébastien Dea,BUF,25,"Feb 8, 1994",Canada,175 lbs - 79 kg,5' 11 - 180 cm,C,Right,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",25,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$700,000",$0,$0
1193. Brogan Rafferty,VAN,24,"May 28, 1995",United States,195 lbs - 88 kg,6' 0 - 183 cm,D,Right,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 9, 2019",24,,,,2,RFA,RFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$125,000",$0,$0
1194. Michael Hutchinson,TOR,29,"Mar 2, 1990",Canada,200 lbs - 91 kg,6' 3 - 191 cm,G,Right,77 - Round 3 - 2008 (BOS),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (1-way),"Jun 27, 2019",29,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$700,000",$0,$0
1195. Anthony Greco,FLA,25,"Sep 30, 1993",United States,176 lbs - 80 kg,5' 10 - 178 cm,RW,Right,-,,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 15, 2019",25,✔,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$200,000",$0,$0
1196. Jonny Brodzinski,SJS,26,"Jun 19, 1993",United States,208 lbs - 94 kg,6' 1 - 185 cm,C,Right,148 - Round 5 - 2013 (LAK),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 2, 2019",26,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$200,000",$0,$0
1197. Patrick Russell,EDM,26,"Jan 4, 1993",Denmark,203 lbs - 92 kg,6' 1 - 185 cm,RW,Right,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jun 11, 2019",26,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$175,000",$0,$0
1198. Devon Toews,NYI,25,"Feb 21, 1994",Canada,191 lbs - 87 kg,6' 1 - 185 cm,D,Left,108 - Round 4 - 2014 (NYI),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 16, 2018",24,✔,,,2,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$750,000","$750,000","$750,000",$0,$0
1199. Colby Williams,WSH,24,"Jan 26, 1995",Canada,190 lbs - 86 kg,5'11 - 180 cm,D,Right,173 - Round 6 - 2015 (WSH),,✓,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 13, 2019",24,✔,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$90,000",$0,$0
1200. Jarred Tinordi,NSH,27,"Feb 20, 1992",United States,225 lbs - 102 kg,6' 6 - 198 cm,D,Left,22 - Round 1 - 2010 (MTL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"May 29, 2019",27,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$300,000",$0,$0
1201. Alex Lintuniemi,CAR,23,"Sep 23, 1995",Finland,231 lbs - 105 kg,6' 3 - 191 cm,D,Left,60 - Round 2 - 2014 (LAK),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",23,,,,1,UFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$85,000",$0,$0
1202. JC Lipon,WPG,25,"Jul 10, 1993",Canada,176 lbs - 80 kg,5' 11 - 180 cm,RW,Right,91 - Round 3 - 2013 (WPG),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jun 6, 2019",25,,,,1,UFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$275,000",$0,$0
1203. Curtis Lazar,BUF,24,"Feb 2, 1995",Canada,205 lbs - 93 kg,6' 0 - 183 cm,"C, RW",Right,17 - Round 1 - 2013 (OTT),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",24,,,,1,UFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$700,000",$0,$0
1204. Kyle Rau,MIN,26,"Oct 24, 1992",United States,176 lbs - 80 kg,5' 8 - 173 cm,"LW, C",Left,91 - Round 3 - 2011 (FLA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jun 27, 2018",25,,,,2,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$275,000",$0,$0
1205. Steven Fogarty,NYR,26,"Apr 19, 1993",United States,210 lbs - 95 kg,6' 3 - 191 cm,"C, RW",Right,72 - Round 3 - 2011 (NYR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Feb 25, 2019",26,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$150,000",$0,$0
1206. Michael Sgarbossa,WSH,26,"Jul 25, 1992",Canada,186 lbs - 84 kg,6' 0 - 183 cm,C,Left,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jun 29, 2019",26,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$400,000",$0,$0
1207. Kenny Agostino,TOR,27,"Apr 30, 1992",United States,199 lbs - 90 kg,6' 0 - 183 cm,LW,Left,140 - Round 5 - 2010 (PIT),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",27,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000",$0,$0,$0
1208. Michael Amadio,LAK,23,"May 13, 1996",Canada,204 lbs - 93 kg,6' 1 - 185 cm,"C, RW",Right,90 - Round 3 - 2014 (LAK),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 15, 2019",23,,,,2,RFA,RFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$150,000",$0,$0
1209. Zane McIntyre,VAN,26,"Aug 20, 1992",United States,206 lbs - 93 kg,6' 2 - 188 cm,G,Left,165 - Round 6 - 2010 (BOS),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (2-way),"Jul 1, 2019",26,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$400,000",$0,$0
1210. Dylan McIlrath,DET,27,"Apr 20, 1992",Canada,236 lbs - 107 kg,6' 5 - 196 cm,D,Right,10 - Round 1 - 2010 (NYR),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"May 8, 2019",27,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$275,000",$0,$0
1211. Justin Scott,CBJ,23,"Aug 13, 1995",Canada,201 lbs - 91 kg,6' 1 - 185 cm,"RW, C",Left,-,,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 10, 2019",23,✔,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$85,000",$0,$0
1212. Tyler Gaudet,TOR,26,"Apr 4, 1993",Canada,201 lbs - 91 kg,6'3 - 191 cm,C,Left,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 24, 2019",26,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000",$0,$0,$0
1213. Alex Belzile,MTL,27,"Aug 31, 1991",Canada,180 lbs - 82 kg,6'0 - 183 cm,"RW, C",Right,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"May 24, 2019",27,,,,1,UFA,UFA,2020,"$700,000",0.8%,"$700,000","$700,000","$700,000","$175,000",$0,$0
1214. Gabriel Dumont,MIN,28,"Oct 6, 1990",Canada,184 lbs - 83 kg,5' 10 - 178 cm,C,Right,139 - Round 5 - 2009 (MTL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",28,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$375,000",$0,$0
1215. Anton Blidh,BOS,24,"Mar 14, 1995",Sweden,201 lbs - 91 kg,6' 0 - 183 cm,LW,Left,180 - Round 6 - 2013 (BOS),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"May 1, 2019",24,✔,,,2,RFA,RFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$125,000",$0,$0
1216. Ian McCoshen,FLA,23,"Aug 5, 1995",United States,217 lbs - 98 kg,6' 3 - 191 cm,D,Left,31 - Round 2 - 2013 (FLA),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 22, 2019",23,✔,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$250,000",$0,$0
1217. Lukas Radil,SJS,28,"Aug 5, 1990",Czech Republic,205 lbs - 93 kg,6' 4 - 193 cm,LW,Left,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jan 6, 2019",28,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$700,000",$0,$0
1218. Landon Bow,DAL,23,"Aug 24, 1995",Canada,210 lbs - 95 kg,6' 5 - 196 cm,G,Left,-,,✓,✔,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (2-way),"Jul 1, 2019",23,✔,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$90,000",$0,$0
1219. Scott Wedgewood,TBL,26,"Aug 14, 1992",Canada,194 lbs - 88 kg,6'0 - 183 cm,G,Left,84 - Round 3 - 2010 (NJD),,,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Standard (2-way),"Jul 1, 2019",26,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$250,000",$0,$0
1220. Nicolas Aubé-Kubel,PHI,23,"May 10, 1996",Canada,187 lbs - 85 kg,5' 11 - 180 cm,RW,Right,48 - Round 2 - 2014 (PHI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 16, 2019",23,,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$85,000",$0,$0
1221. Kevin Gravel,TOR,27,"Mar 6, 1992",United States,211 lbs - 96 kg,6' 4 - 193 cm,D,Left,148 - Round 5 - 2010 (LAK),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",27,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$700,000",$0,$0
1222. Philip Varone,MTL,28,"Dec 4, 1990",Canada,193 lbs - 88 kg,5' 10 - 178 cm,C,Left,147 - Round 5 - 2009 (SJS),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 3, 2019",28,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$450,000",$0,$0
1223. Cole Bardreau,NYI,25,"Jul 22, 1993",United States,185 lbs - 84 kg,5' 10 - 178 cm,C,Right,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",25,,,,2,UFA,UFA,2021,"$700,000",0.9%,"$700,000","$700,000","$700,000","$125,000",$0,$0
1224. Gemel Smith,TBL,25,"Apr 16, 1994",Canada,195 lbs - 88 kg,5' 11 - 180 cm,C,Left,104 - Round 4 - 2012 (DAL),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 7, 2019",25,,,,1,UFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$250,000",$0,$0
1225. Dominik Masin,TBL,23,"Feb 1, 1996",Czech Republic,194 lbs - 88 kg,6'2 - 188 cm,D,Left,35 - Round 2 - 2014 (TBL),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 17, 2019",23,,,,1,RFA,RFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$100,000",$0,$0
1226. Martin Marincin,TOR,27,"Feb 18, 1992",Slovakia,213 lbs - 97 kg,6' 5 - 196 cm,D,Left,46 - Round 2 - 2010 (EDM),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 29, 2019",27,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$700,000",$0,$0
1227. Brandon Davidson,CGY,27,"Aug 21, 1991",Canada,208 lbs - 94 kg,6' 2 - 188 cm,D,Left,162 - Round 6 - 2010 (EDM),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",27,,,,1,UFA,UFA,2020,"$700,000",0.9%,"$700,000","$700,000","$700,000","$225,000",$0,$0
